200
plaque;marque;modele;millesime;kilometrage;categorie;prix;gearbox
WB-855-TU;Koenigsegg;Insignia-Grand-Sport;2009;271226;A;113468;0
LA-680-UW;Bentley;MG3;2019;120970;C;192309;1
DX-682-SV;GeneralMotors;CX-3;2013;95474;C;56191;0
ZO-301-FD;Infiniti;Venga;2012;236149;B;164910;1
GS-759-UW;BMW;Leon;2012;188841;C;160509;1
JC-149-VY;Maserati;CR-V;2011;214422;A;156232;1
UW-887-OJ;Bentley;Octavia;2012;157878;A;64621;1
FI-480-IV;AstonMartin;2008-SUV;2009;153099;A;133318;1
OE-740-LB;Toyota;C4-Cactus;2011;208387;C;176166;1
TP-748-SK;BMW;Combo-Life;2015;4253;B;166335;1
PY-669-PD;Mazda;Galaxy;2018;232282;A;170284;0
PT-875-KQ;Kia;500C;2007;230305;C;139900;1
QY-124-DG;TataMotors;Rifter;2009;144511;A;109805;1
FX-746-LN;Bentley;2-Series;2005;199893;A;36817;0
NT-076-BA;Mazda;Eclipse-Cross;2013;58331;B;143212;1
VE-884-ZK;Mazda;forfour;2012;168540;B;183340;1
UO-325-VP;Volkswagen;108;2019;101827;C;37154;0
RC-210-QA;GeneralMotors;Mini-Countryman;2013;240644;C;30437;1
MZ-320-JW;Maserati;Mirage;2013;58151;A;43645;1
KS-909-YF;AstonMartin;C1;2011;298354;A;188656;0
GW-761-FM;Subaru;Yaris;2011;246693;A;162155;0
KT-616-KO;BMW;IONIQ;2011;125686;C;71915;0
WQ-434-WX;Dodge;Ignis;2011;292587;C;58615;1
CJ-578-YV;Infiniti;Eclipse-Cross;2009;54972;B;67660;1
LE-293-QF;Volkswagen;Leon;2017;149573;B;174036;1
BZ-590-EU;Kia;Picanto;2019;188639;C;115764;1
PV-721-LF;Bentley;Insignia-Country-Tourer;2015;104219;B;126719;1
DA-010-OE;AstonMartin;Swift;2014;275259;C;114390;1
QV-344-KS;Toyota;MX-5;2009;5779;B;196518;1
ZH-793-DJ;Jeep;Caddy-Maxi;2013;203215;C;191365;0
AM-487-RA;Kia;Combo-Life;2016;202741;B;129830;1
ZL-447-TC;Volkswagen;Baleno;2019;122444;B;149525;0
HT-822-TP;TataMotors;CR-V;2011;141202;B;118266;1
ET-554-XT;AstonMartin;X1;2013;107284;C;56470;0
VW-657-HC;Dodge;Rifter;2013;296040;C;176009;0
ZJ-506-WC;Maserati;IONIQ;2017;20901;C;120183;0
EO-387-RL;Renault;Tipo;2014;294802;C;173865;1
ZN-053-TQ;Jeep;Polo;2006;245810;A;132729;0
